Brand,ProductType,ShadeCode,ShadeName,Collection,ProductURL,SwatchImageURL,ApproxHex
OPI,Nail Lacquer,NLH82,Let's Be Friends,2021 OPI x Hello Kitty,https://www.opi.com/en-GB/products/nail-lacquer-lets-be-friends,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/lets-be-friends-brush-swatch_2c0c90c2-35ea-4337-8b38-c86aa70beb7b.jpg?v=1713777731,#E8D5D7
OPI,Nail Lacquer,NLLA10,Abstract After Dark,Downtown Los Angeles,https://www.opi.com/en-GB/products/nail-lacquer-abstract-after-dark,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/abstract-after-dark-brush-swatch_0edb56dd-5057-4298-ad6f-9497ed941576.jpg?v=1704978517,#231238
OPI,Nail Lacquer,NLH004,Hollywood & Vibe,Hollywood,https://www.opi.com/en-GB/products/nail-lacquer-hollywood-vibe,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/hollywood-and-vibe-brush-swatch_debf4283-c21a-4f2b-aa8b-9b528510951b.jpg?v=1713777595,#E9CBD9
OPI,Nail Lacquer,NLH001,Suzi Calls the Paparazzi,Hollywood,https://www.opi.com/en-GB/products/nail-lacquer-suzi-calls-the-paparazzi,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/suzi-calls-the-paparazzi-brush-swatch_006f0447-7c88-4249-8342-b6e4a6637f86.jpg?v=1704979210,#D2969D
OPI,Nail Lacquer,NLL00,Alpine Snow®,Classics,https://www.opi.com/en-GB/products/nail-lacquer-alpine-snow,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/alpine-snow-brush-swatch_8b02dfdd-07d7-4c5b-bd76-f7e9f6eea2d7.jpg?v=1704978517,#E5E4E5
OPI,Nail Lacquer,NLSH1,"Baby, Take a Vow",Always Bare For You,https://www.opi.com/en-GB/products/nail-lacquer-baby-take-a-vow,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/baby-take-a-vow-brush-swatch_f9c67045-212b-4b91-a9a6-a2b8c6bab9a3.jpg?v=1704978585,#E7BFBF
OPI,Nail Lacquer,NLSH4,Bare My Soul,Always Bare For You,https://www.opi.com/en-GB/products/nail-lacquer-bare-my-soul,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/bare-my-soul-brush-swatch_74791980-a9ce-4963-9f6e-ab3bcf91804b.jpg?v=1704978588,#CBA8A3
OPI,Nail Lacquer,NLE41,Barefoot in Barcelona,Classics,https://www.opi.com/en-GB/products/nail-lacquer-barefoot-in-barcelona,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/barefoot-in-barcelona-brush-swatch_6bf36fb9-a5ef-463a-ad20-5789a903f598.jpg?v=1704978585,#C28B84
OPI,Nail Lacquer,NLG13,Berlin There Done That,Classics,https://www.opi.com/en-GB/products/nail-lacquer-berlin-there-done-that,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/berlin-there-done-that-brush-swatch_9f41db44-b9ee-4fe3-a6b6-da61645cc61e.jpg?v=1704978626,#C5ADAB
OPI,Nail Lacquer,NLN25,Big Apple Red®,Classics,https://www.opi.com/en-GB/products/nail-lacquer-big-apple-red,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/big-apple-red-brush-swatch_0baef27e-2d72-4a63-944b-100fc7139f49.jpg?v=1704978590,#B5000F
OPI,Nail Lacquer,NLI43,Black Cherry Chutney,Classics,https://www.opi.com/en-GB/products/nail-lacquer-black-cherry-chutney,https://cdn.shopify.com/s/files/1/0656/5547/2343/files/black-cherry-chutney-brush-swatch_f1391bbd-dd31-4889-8aa0-3cbfe4513fe2.jpg?v=1704978590,#1B0913
