Brand,Product Type,Collection,Category,Shade Name,ApproxHex,ProductURL,SwatchURL
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Rogue,#741E20,https://thegelbottle.com/autumn-edit/rogue/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2162/images/386022/5dbc2f01062ae0a13dbbb1f33b9034157c271c8b_01_25021_EC_POP_ROGUE_7541_FINAL_1500x1500crop_72dpi__48559.1758289490.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Getaway,#43251F,https://thegelbottle.com/autumn-edit/getaway/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2163/images/386927/b7e96b673b18c75290f0a00114135fd9be9e855d_01_25021_EC_POP_GETAWAY_7544_FINAL_1500x1500crop_72dpi__69530.1758289489.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Classified,#552032,https://thegelbottle.com/autumn-edit/classified/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2157/images/384598/449364f86d42ecb2b022e4c19432e009c8804491_01_25021_EC_POP_CLASSIFIED_7555_FINAL_1500x1500crop_72dpi__54286.1758289489.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Heist,#411819,https://thegelbottle.com/autumn-edit/heist/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2159/images/384764/c67ffc99d51023e00b5caf4a7f855d953d44b29e_01_25021_EC_POP_HEIST_7518_FINAL_1500x1500crop_72dpi__10414.1758289490.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Crypto,#1D4133,https://thegelbottle.com/autumn-edit/crypto/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2158/images/384464/45ebcee4e02e984a8a0742cbe50d682d7237a6a3_01_25021_EC_POP_CRYPTO_7524_FINAL_1500x1500crop_72dpi__21903.1758289490.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Mission,#381732,https://thegelbottle.com/autumn-edit/mission/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2161/images/387882/399d3a26b7284db9b51ca18dafa9220f081e1d96_01_25021_EC_POP_MISSION_7525_FINAL_1500x1500crop_72dpi__37542.1758289490.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Alibi,#E0C0DD,https://thegelbottle.com/autumn-edit/alibi/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2156/images/384265/c55560829ffd900213d15275d07a355b10480662_01_25021_EC_POP_ALIBI_7538_FINAL_1500x1500crop_72dpi__33740.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,"Magnetic, Cat-eye",Decoy Magnetic,#AB3783,https://thegelbottle.com/autumn-edit/decoy-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2164/images/387052/d2465f05386d91cc54cb3b59ad8f5f244fa31fc8_01_25021_EC_POP_DECOY_7535_FINAL_1500x1500crop_72dpi__79626.1758289491.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,"Magnetic, Cat-eye",Vault Magnetic,#685862,https://thegelbottle.com/autumn-edit/vault-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2160/images/385320/fc3437a4ccb49eefea64bfd44829861fff25eaf5_01_25021_EC_POP_VAULT_7547_FINAL_1500x1500crop_72dpi__02405.1758281703.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Sunkissed Magnetic,#E9CDC8,https://thegelbottle.com/gel-colour/sunkissed-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2046/images/387666/1eceb6b983831775d2df4586aebcf17bdec3f49f_01_25016_EC_POP_SUNKISSED_FINAL_1500x1500crop_72dpi__50295.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Manifest Magnetic,#D29FA7,https://thegelbottle.com/gel-colour/manifest-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2033/images/383055/45e2add37ccdd610368c57b4a0fd3d007748c189_01_25016_EC_POP_MANIFEST_FINAL_1500x1500crop_72dpi__49261.1758289489.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Obsession  Magnetic,#AD6A90,https://thegelbottle.com/gel-colour/obsession-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2042/images/386092/fc891c0aadb814acdd74f5474dfdd9111c4ee8c1_01_25016_EC_POP_OBSESSION_FINAL_1500x1500crop_72dpi__94287.1758289487.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Juicy Magnetic,#AB82AB,https://thegelbottle.com/gel-colour/juicy-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2041/images/384235/7e2207c9e583f99e223c5bd3893cc778a6f1f1cb_01_25016_EC_POP_JUICY_FINAL_1500x1500crop_72dpi__46898.1758289487.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Rush Magnetic,#D4A78B,https://thegelbottle.com/gel-colour/rush-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2040/images/383284/d430bcb66d4fe67d41f3bc01aa3b17f1b697bcbb_01_25016_EC_POP_RUSH_FINAL_1500x1500crop_72dpi__15307.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Mermaid  Magnetic,#B9CFC8,https://thegelbottle.com/gel-colour/mermaid-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2035/images/383486/81c38d953c740a3d0930d6d62828688d30950f45_01_25016_EC_POP_MERMAID_FINAL_1500x1500crop_72dpi__04438.1758289489.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",That Girl Magnetic,#B7BFAB,https://thegelbottle.com/gel-colour/that-girl-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2034/images/383219/90f9e89e242a3e408d80a8b2f2d5040a755ea94f_01_25016_EC_POP_THAT_GIRL_FINAL_1500x1500crop_72dpi__92828.1758289486.220.290.jpg?c=1
